TermID,TermName,ParentID
576,طراحی لوگو,224
577,طراحی بنر و پوستر,224
578,تایپوگرافی,224
579,طراحی رابط کاربری,224
580,لایت روم,224
581,موشن گرافیک,224
582,ایندیزاین,224
583,تصویر سازی,224
584,ایلوستریتور,224
585,طراحی آناتومی بدن,224
586,طراحی ساده,224
587,طراحی چهره,224
588,طراحی با مداد,224
589,سینما و تئاتر,10
590,ادوبی پریمایر,589
591,ویرایش فیلم,589
592,ادوب ادیشن,589
593,تدوین فیلم,589
594,موسیقی,10
595,تئوری علم موسیقی,594
596,آموزش آواز و پرورش صدا,594
597,آهنگ سازی,594
598,نرم افزارهای آهنگ سازی,594
599,آموزش گیتار,594
600,آموزش سه تار,594
601,آموزش تار,594
602,آموزش تنبک,594
603,آموزش سنتور,594
604,آموزش نی,594
605,آموزش پیانو,594
606,آموزش ویالون,594
607,آموزش گرام,594
608,صنایع دستی,10
609,سفالگری,608
610,صنایع دستی سنگی,608
611,صنایع دستی چوبی,608
612,صنایع دستی مسی,608
613,صنایع دستی فرش و گلیم,608
614,صنایع دستی سایر,608
615,طراحی مد و لباس,10
616,خیاطی,615
617,جواهرسازی و طراحی جواهر,615
618,الگو و دوخت,615
619,گلدوزی,615
620,طراحی لباس,615
621,طلاسازی,615
622,معماری,10
623,اسکیس و راندو,622
624,طراحی داخلی,622
625,اسکچاپ,622
626,تری دی مکس,622
627,مدیریت عمومی,249
628,مدیریت مالی,249
629,مدیریت پروژه,249
630,مدیریت کسب و کار,249
631,رهبری و انگیزش تیم,627
632,تحلیل عملکرد,627
633,مدیریت تولید,627
634,مدیریت سیستم‌های اطلاعات و فناوری,627
635,مدیریت منابع,627
636,تجارت بین الملل,627
637,مدیریت ریسک,627
638,انبارداری,627
639,اصول مدیریت,627
640,مدیریت استراتژیک,627
641,مدیریت زنجیره تامین,627
642,مدیریت عملیات,627
643,حسابداری مالی,628
644,تحلیل مالی,628
645,برنامه‌ریزی مالی,628
646,نرم افزارهای مدیریت مالی,628
647,حسابداری,628
648,حسابداری صنعتی,628
649,نسبت های مالی,628
650,حسابرسی,628
651,تحلیل و مدل سازی مالی,628
652,اصول حسابداری,628
653,متدولوژی‌های مدیریت پروژه,629
654,آزمون های مدیریت پروژه,629
655,MSP,629
656,نرم افزارهای مدیریت پروژه,629
657,مدیریت مالی پروژه,629
658,مدیریت قراردادهای پروژه,629
659,استراتژی کسب‌وکار,630
660,زبان بدن,630
661,بهبود فرآیندهای کسب‌وکار,630
662,تحلیل آماری کسب و کار,630
663,هوش تجاری,630
664,ابزارهای تحلیل کسب و کار,630
665,مهارت‌های رهبری,630
666,رهبری موثر در کسب‌وکار,630
667,مدیریت تیم و انگیزش,630
668,مهارت‌های زندگی,11
